3. Zeile und 49.Spalte, Wert:32047.613271359965
3. Zeile und 50.Spalte, Wert:32189.442962047466
3. Zeile und 51.Spalte, Wert:32215.15501895507
3. Zeile und 52.Spalte, Wert:32246.476606058513
3. Zeile und 53.Spalte, Wert:31855.805962104998
3. Zeile und 54.Spalte, Wert:32179.2932182552
3. Zeile und 55.Spalte, Wert:31750.555465454952
3. Zeile und 56.Spalte, Wert:32020.143602190845
3. Zeile und 57.Spalte, Wert:31932.751897977378
3. Zeile und 58.Spalte, Wert:31696.238468659685
3. Zeile und 59.Spalte, Wert:32321.848872629824
3. Zeile und 60.Spalte, Wert:31656.697677981134
3. Zeile und 61.Spalte, Wert:31588.6034319918
3. Zeile und 62.Spalte, Wert:32070.36944362532
3. Zeile und 63.Spalte, Wert:31528.31995198999
3. Zeile und 64.Spalte, Wert:31678.265304190496
3. Zeile und 65.Spalte, Wert:32023.105553764395
3. Zeile und 66.Spalte, Wert:32207.05242659921
3. Zeile und 67.Spalte, Wert:32151.61962222978
3. Zeile und 68.Spalte, Wert:32077.49350662221
3. Zeile und 69.Spalte, Wert:32081.55885861728
3. Zeile und 70.Spalte, Wert:31831.26174369096
3. Zeile und 71.Spalte, Wert:31649.677635922675
3. Zeile und 72.Spalte, Wert:32044.67732705252
3. Zeile und 73.Spalte, Wert:31817.283427437065
3. Zeile und 74.Spalte, Wert:31625.358245619187
3. Zeile und 75.Spalte, Wert:31875.22316947991
3. Zeile und 76.Spalte, Wert:31522.472884236882
3. Zeile und 77.Spalte, Wert:32079.566938324067
3. Zeile und 78.Spalte, Wert:31675.507731381414
3. Zeile und 79.Spalte, Wert:31515.207710306087
3. Zeile und 80.Spalte, Wert:31791.8177411
3. Zeile und 81.Spalte, Wert:32305.867002977564
3. Zeile und 82.Spalte, Wert:31598.37149869143
3. Zeile und 83.Spalte, Wert:32287.17343197868
3. Zeile und 84.Spalte, Wert:31893.74818375179
3. Zeile und 85.Spalte, Wert:32145.66016446866
3. Zeile und 86.Spalte, Wert:31735.04966071565
3. Zeile und 87.Spalte, Wert:31964.514635043786
3. Zeile und 88.Spalte, Wert:31962.024371643012
3. Zeile und 89.Spalte, Wert:31606.7091560623
3. Zeile und 90.Spalte, Wert:31753.01084032207
3. Zeile und 91.Spalte, Wert:31717.46855611727
3. Zeile und 92.Spalte, Wert:32083.236570679954
3. Zeile und 93.Spalte, Wert:31823.885597283104
3. Zeile und 94.Spalte, Wert:32111.75383798197
3. Zeile und 95.Spalte, Wert:31940.56899716109
3. Zeile und 96.Spalte, Wert:31564.762907584354
3. Zeile und 97.Spalte, Wert:31641.526829047096
3. Zeile und 98.Spalte, Wert:32058.754662208306
3. Zeile und 99.Spalte, Wert:31616.924068804754
3. Zeile und 100.Spalte, Wert:31895.06045733541
4. Zeile und 0.Spalte, Wert:31977.76738991228
4. Zeile und 1.Spalte, Wert:31985.174825790273
4. Zeile und 2.Spalte, Wert:32070.51268786891
4. Zeile und 3.Spalte, Wert:32209.406752255934
4. Zeile und 4.Spalte, Wert:31703.866860317885
4. Zeile und 5.Spalte, Wert:31698.32502897951
4. Zeile und 6.Spalte, Wert:31934.71523073815
4. Zeile und 7.Spalte, Wert:31682.699900564236
4. Zeile und 8.Spalte, Wert:32196.289738775977
4. Zeile und 9.Spalte, Wert:31966.76428007288
4. Zeile und 10.Spalte, Wert:31719.41565456797
4. Zeile und 11.Spalte, Wert:31744.96301088137
4. Zeile und 12.Spalte, Wert:32273.998738000562
4. Zeile und 13.Spalte, Wert:33497.169661275766
4. Zeile und 14.Spalte, Wert:32150.4308009637
4. Zeile und 15.Spalte, Wert:31704.613452836216
4. Zeile und 16.Spalte, Wert:31963.69257454703
4. Zeile und 17.Spalte, Wert:31781.48335357253
4. Zeile und 18.Spalte, Wert:32370.578417012413
4. Zeile und 19.Spalte, Wert:32393.329114006963
4. Zeile und 20.Spalte, Wert:32392.2132970949
4. Zeile und 21.Spalte, Wert:31791.12964578449
4. Zeile und 22.Spalte, Wert:32045.982968618326
4. Zeile und 23.Spalte, Wert:31994.82982251317
4. Zeile und 24.Spalte, Wert:32175.126239164445
4. Zeile und 25.Spalte, Wert:32193.919055205974
4. Zeile und 26.Spalte, Wert:32063.870312223975
4. Zeile und 27.Spalte, Wert:32067.925168913476
4. Zeile und 28.Spalte, Wert:32376.60164996134
4. Zeile und 29.Spalte, Wert:31770.50752654945
4. Zeile und 30.Spalte, Wert:32005.674898113448
4. Zeile und 31.Spalte, Wert:32006.27389523111
4. Zeile und 32.Spalte, Wert:32193.356978628497
4. Zeile und 33.Spalte, Wert:31950.97194834662
4. Zeile und 34.Spalte, Wert:31794.838073963027
4. Zeile und 35.Spalte, Wert:31995.01663590827
4. Zeile und 36.Spalte, Wert:32096.629385504344
4. Zeile und 37.Spalte, Wert:31783.421844471926
4. Zeile und 38.Spalte, Wert:32110.976122768785
4. Zeile und 39.Spalte, Wert:31751.706432191782
4. Zeile und 40.Spalte, Wert:32048.83537981757
4. Zeile und 41.Spalte, Wert:32339.19810603017
4. Zeile und 42.Spalte, Wert:31966.124189213286
4. Zeile und 43.Spalte, Wert:32056.018774818556
4. Zeile und 44.Spalte, Wert:31953.603792419563
4. Zeile und 45.Spalte, Wert:32266.258308067856
4. Zeile und 46.Spalte, Wert:32295.250181483658
4. Zeile und 47.Spalte, Wert:32002.46189159825
